axis,setting,boot_win95_ms,boot_defrag95_ms,boot_gain_pct,day_gain_pct
Drive,"1994 540MB IDE, 3600 RPM",6672.5,5039.1,24.48,23.8
Drive,"1996 1.6GB EIDE, 5400 RPM",3782.7,2505.6,33.76,24.54
Drive,"1998 4.0GB UDMA, 5400 RPM",2914.0,1685.7,42.15,24.16
Volume fill after install,50%,3782.7,2505.6,33.76,25.55
Volume fill after install,62%,3782.7,2505.6,33.76,24.54
Volume fill after install,75%,3782.7,2503.0,33.83,26.85
VCACHE size,1 MB,3782.7,2505.6,33.76,24.54
VCACHE size,8 MB,3766.1,2487.6,33.95,24.56
Cache and head state,shared across one session,3782.7,2505.6,33.76,24.53
Drive read-ahead buffer,none,3824.9,3281.6,14.2,19.65
Drive read-ahead buffer,32 KB,3788.2,2692.2,28.93,22.72
Drive read-ahead buffer,64 KB,3782.7,2505.6,33.76,24.54
Drive read-ahead buffer,256 KB,3724.1,2338.9,37.19,26.13
Run-to-run workload variation,identical every run,3830.4,2268.7,40.77,27.01
Run-to-run workload variation,default,3782.7,2505.6,33.76,24.54
Run-to-run workload variation,2.5x more variable,3856.2,2975.3,22.84,21.66
Run-to-run workload variation,5x more variable,3935.9,3310.4,15.89,19.77
Monitoring period before layout,1 day(s),3782.7,2579.8,31.8,23.83
Monitoring period before layout,3 day(s),3782.7,2494.5,34.05,24.76
Monitoring period before layout,14 day(s),3782.7,2505.6,33.76,24.54
Monitoring period before layout,30 day(s),3782.7,2559.4,32.34,23.81
